Q26	region in north-west Europe, part of the United Kingdom
Q27	republic covering major parts of the island of Ireland
Q29	constitutional monarchy in Southwest Europe
Q3	matter capable of extracting energy from the environment for replication
Q23	first President of the United States
Q42	author
Q36	republic in Central-Eastern Europe
Q39	federal republic in Western Europe
Q62	consolidated city-county in California, United States
Q64	capital city of Germany
Q71	city in Switzerland and capital of its canton
Q72	capital of the canton of Z\u00FCrich, Switzerland
Q82	electronic device which produces a representation of an electronic document on physical media
Q83	wiki software
Q89	fruit of the apple tree
Q96	federal republic in the southern portion of North America
Q99	state of the United States
Q123	ninth month in the Julian and Gregorian calendars
Q125	eleventh month in the Julian and Gregorian calendars
Q136	piece in the board game of chess
Q140	species of big cat
Q143	international auxiliary language designed by Ludwik Lejzer Zamenhof
Q145	country in Europe
Q146	domesticated species of feline
Q147	young of a cat
Q148	state in East Asia
Q163	historic county of Northern England
Q168	letter in the Greek alphabet representing the Latin \"p\"
Q173	state of the United States of America
Q184	country in Eastern Europe
Q188	West Germanic language
Q189	island republic in Northern Europe
Q194	planar collection of stellar debris that orbits Saturn
Q195	food produced from the seed of Theobroma cacao
Q207	43rd President of the United States
Q212	sovereign state in Eastern Europe
Q221	republic in Southeast Europe
Q227	republic in Western Asia and Eastern Europe
Q228	European microstate between France and Spain
Q232	country in Central Asia
Q244	country in the Caribbean
Q248	American multinational corporation that manufactures semiconductor chips
Q255	German classical and romantic composer
Q263	Wikimedia project, an online digital library of free content textual sources on a wiki
Q268	city in Greater Poland Voivodeship, Poland
Q277	distillery that produces single malt Scotch whisky on Islay
Q278	Island Single Malt Scotch whisky
Q281	type of distilled alcoholic beverage made from fermented grain mash
Q284	alcoholic beverage; a variety of brandy
Q297	Spanish painter
Q305	form of physical punishment that involves pain
Q319	fifth planet from the Sun and largest planet in the Solar System
Q323	theoretical past period when the Universe was much hotter, denser and rapidly expanding
Q346	King of France
Q349	forms of competitive activity, usually physical
Q353	Queen of France
Q360	Australian editor, activist, publisher and journalist
Q362	1939\u20131945 global war between the Allied and Axis Powers
Q368	Former dictator of the republic of Chile
Q394	science of measurement and its application
Q395	field of study (numbers, quantity, structure, relationships, space, change)
Q396	Irish alternative rock band
Q398	constitutional monarchy in Southwest Asia
Q401	old writing system used for many languages, including Akkadian and Hittite
Q412	two plaques attached to the Pioneer 10 and Pioneer 11 spacecraft, in case extraterrestrial life finds it
Q419	republic in South America
Q433	Polish rural gmina in Lublin Voivodeship
Q437	capital city of Slovenia
Q439	Polish town in \u015Awi\u0119tokrzyskie Voivodeship
Q450	combination of cognitive faculties that provides consciousness, thinking, reasoning, perception, and judgement in humans and potentially other life forms
Q454	state of harmony characterized by lack of violent conflict and freedom from fear of violence
Q456	commune in the metropolis of Lyon, France
Q459	second-largest city in Bulgaria
Q463	former administrative region of France
Q464	German mathematician
Q465	online database project
Q480	novel by the Spanish author Miguel de Cervantes Saavedra
Q483	former Hong Kong\u2013based company
Q490	second-largest city in Italy
Q501	French poet
Q510	The deepest part of Earth's oceans
Q521	science of the function of living systems
Q522	communications protocol for controlling, monitoring, and diagnosing coffee pots
Q528	pulsar located 1000 light years from the Sun
Q530	Swedish alpine skier
Q535	French poet, novelist, and dramatist
Q545	sea in Northern Europe bounded by the Scandinavian Peninsula, the mainland of Europe, and the Danish islands
Q550	avenue in Paris, France
Q558	French fashion designer
Q559	French veterinary surgeon (1712-1779)
Q579	Chilean army officer and political figure
Q585	capital city and county in Norway
Q589	astronomical object so densely massive that anything falling into it, including light, cannot escape its gravity
Q606	non-venomous dwarf boa species
Q611	dwarf planet in the Solar System
Q613	Dubai
Q616	wine from the Beaujolais AOC of France
Q621	commune in Yvelines, France
Q626	river in Russia, the longest river in Europe
Q638	form of art using sound
Q642	Japanese media franchise
Q643	Italian river
Q648	commune in Nord, France
Q657	country in central Africa
Q661	cyclic water pump powered by hydropower
Q686	country in Oceania
Q697	republic in Oceania
Q716	element with the atomic number of 22
Q720	founder and first emperor of the Mongol Empire
Q723	Canadian police drama television series
Q724	state of the United States of America
Q734	country in South America
Q735	process of creating things of no intrinsic value but significant extrinsic value through emotional or aesthetic appeal
Q736	country in South America
Q741	Slavic male given name (\u042F\u0440\u043E\u0441\u043B\u0430\u0432)
Q743	chemical element with symbol W and atomic number 74
Q744	chemical element with atomic number of 28
Q749	capital city of the province of Groningen, the Netherlands
Q751	chemical element with the atomic number of 76
Q768	city on\u00A0Bra\u010D island, Croatia
Q771	state of the United States of America
Q776	province of the Netherlands
Q781	country in the Caribbean
Q783	republic in Central America
Q787	domesticated food animal
Q795	state of lacking intelligence
Q803	municipality in the Netherlands
Q805	country in Western Asia
Q806	conurbation in the Netherlands
Q818	province of Bolivia
Q819	republic in Southeast Asia
Q826	country in Asia
Q841	province of Bolivia
Q859	Classical Greek philosopher
Q865	state in East Asia
Q866	video-sharing service owned by Google
Q867	chemical element with atomic number of 32
Q876	chemical element with atomic number of 34
Q878	monarchy in Southwest Asia
Q887	Russian city
Q889	republic in South Asia
Q898	city in Russia
Q903	volcano in Ethiopia
Q905	German-speaking Bohemian Jewish novelist and short story writer
Q908	Russian city
Q910	Wikimedia disambiguation page
Q912	republic in West Africa
Q915	city in Russia
Q928	republic in Southeast Asia
Q956	capital city of China since 1949
Q959	Russian city and the administrative center of Primorsky Krai
Q961	Polish television series
Q968	German city in North Rhine-Westphalia
Q975	county seat city in Bexar County, Texas, USA
Q992	municipality in the province of Utrecht, the Netherlands
Q1001	pre-eminent leader of Indian nationalism during British-ruled India
Q1003	Polish trade union federation
Q1009	republic in Central Africa
Q1023	Swiss musician and music producer
Q1026	people from Poland
Q1029	country in Africa
Q1038	chemical element with atomic number of 40
Q1040	German city in the state of Baden-W\u00FCrttemberg
Q1042	island country to the East of Africa
Q1049	republic in Africa
Q1051	Slovenian biologist
Q1058	Prime Minister  of India
Q1063	change in the inherited characteristics of biological populations over successive generations
Q1072	organ for the circulation of blood in animal circulatory systems
Q1097	the main railway station of Berlin
Q1099	element with the atomic number of 51
Q1105	chemical element with the atomic number of 93
Q1107	animation produced in Japan
Q1108	element with the atomic number of 55
Q1111	physical property that quantifies an object's interaction with electric fields
Q1113	province in Flanders, Belgium
Q1116	province in Flanders, Belgium
Q1118	province in Flanders, Belgium
Q1121	chemical element with the atomic number of 89
Q1127	province in Wallonia, Belgium
Q1133	chemical element with the atomic number of 86
Q1136	social news website
Q1140	district of the German city of Hamburg
Q1143	quarter of the German city of Hamburg
Q1148	quarter of the German city of Hamburg
Q1150	Ancient Roman mythological god of trade, merchants, and travel
Q1151	French Romantic composer
Q1153	quarter of the German city of Hamburg
Q1156	capital city and district in Maharashtra, India
Q1161	Wikimedia disambiguation page
Q1165	Indian state
Q1183	Unincorporated Territory of the United States
Q1184	Indian state
Q1187	river in South-East England
Q1193	Indian state
Q1202	state in Germany
Q1208	state of Germany
Q1215	punk subculture
Q1216	region in North-West Italy
Q1223	state of the United States of America
Q1225	American singer and songwriter
Q1228	9th President of Italy
Q1232	chemical element with the atomic number of 105
Q1234	chemical element with the atomic number of 106
Q1240	4th President of Italy
Q1243	region in Italy
Q1254	7th Secretary-General of the United Nations
Q1256	Italian region
Q1257	6th Secretary-General of the United Nations
Q1260	4th Secretary-General of the United Nations, President of Austria
Q1265	river in the West of the US and Mexico
Q1267	Swedish diplomat, economist, and author
Q1272	chemical element with the atomic number of 111
Q1273	region of Italy
Q1276	Canadian poet and singer-songwriter
Q1281	top-level category of a Wikimedia project
Q1283	mountain range in the Alps
Q1287	Christian theological movement
Q1288	mountain range in Central and Eastern Europe
Q1293	board game
Q1307	element with the atomic number of 118
Q1319	Chilean politician and President
Q1325	Austrian and British economist and Nobel Prize for Economics laureate
Q1339	German composer and musician of the Baroque era
Q1358	class of arthropods
Q1370	state of the United States of America
Q1372	mountain in the Graian Alps located between the Aosta Valley and Piedmont regions of north-west Italy
Q1383	one of the Great Lakes of North America
Q1388	chemical element with the atomic number of 60
Q1394	Russian politician, communist theorist and first leader of Soviet Russia
Q1396	chemical element with atomic number of 63
Q1399	Italian politician, Writer and Author
Q1402	Italian author and poet
Q1413	Emperor of Ancient Rome, 5th and last of the Julio-Claudian dynasty
Q1425	Emperor of Ancient Rome
Q1427	Emperor of Ancient Rome
Q1439	state of the United States of America
Q1444	musical keyboard instrument
Q1455	team sport version of hockey played on grass or turf with sticks and a round ball
Q1463	former President of the Philippines from 1965 to 1986
Q1464	15th President of the Philippines (2010-2016)
Q1466	hypothetical chemical element with the atomic number 121
Q1471	river in France
Q1475	city of the Philippines in Metro Manila
Q1479	commune in Gironde, France
Q1482	city in the province of Cavite, Philippines
Q1487	computing term with a variety of meanings
Q1489	capital city of Mexico
Q1494	state of the United States of America
Q1498	Indian state
Q1499	Indian state
Q1503	president of the Philippines from 1935 to 1944
Q1504	commune in Rh\u00F4ne, France
Q1506	public square located in the centre of Lyon, France
Q1507	region located at the southern end of South America
Q1512	Scottish novelist, poet, essayist, and travel writer
Q1513	city in Maharashtra, India
Q1516	minor basilica in Lyon
Q1520	capital of Kazakhstan
Q1521	Roman Catholic cathedral in Lyon, France, and the seat of the Archbishop of Lyon
Q1522	state of the United States of America
Q1530	capital city of Iraq
Q1533	capital of Venezuela
Q1541	Roman philosopher and statesman
Q1549	commune in Rh\u00F4ne, France
Q1555	capital and largest city of the Republic of Guatemala
Q1562	quarter of Hamburg, Germany
Q1581	state of the United States of America
Q1583	quarter in Hamburg-Mitte, Hamburg, Germany
Q1586	quarter in Hamburg, Germany
Q1591	one of 14 quarters  in the district of Altona, Hamburg, Germany
Q1592	quarter in Hamburg, Germany
Q1596	quarter in Hamburg, Germany
Q1597	quarter in Hamburg, Germany
Q1598	quarter in Hamburg, Germany
Q1600	quarter in Hamburg, Germany
Q1606	quarter in the borough of Altona, Hamburg, Germany
Q1612	state of the United States of America
Q1616	quarter in Hamburg, Germany
Q1621	quarter of Hamburg, Germany
Q1628	English athlete, sports official, and Conservative Party politician
Q1631	French singer
Q1641	quarter of Hamburg, Germany
Q1646	French writer
Q1651	Jamaican sprinter
Q1652	American sprinter
Q1660	Botswanan middle distance runner
Q1667	river in Germany, France and Luxembourg
Q1673	right tributary of Rhine river in Germany
Q1680	river in Saxony and Saxony-Anhalt, Germany
Q1683	American track and field athlete
Q1686	city of the Philippines in the region of Caraga
Q1693	marginal Sea of the Atlantic Ocean
Q1701	city in the province of Albay, Philippines
Q1709	capital city of Mecklenburg-Vorpommern, Germany
Q1710	city of the Philippines in the province of Basilan
Q1713	reference to a source
